track_id,track_popularity
6f807x0ima9a1j3VPbc7VN,66
0r7CVbZTWZgbTCYdfa2P31,67
1z1Hg7Vb0AhHDiEmnDE79l,70
75FpbthrwQmzHlBJLuGdC7,60
1e8PAfcKUYoKkxPhrHqw4x,69
7fvUMiyapMsRRxr07cU8Ef,67
2OAylPUDDfwRGfe0lYqlCQ,62
6b1RNvAcJjQH73eZO4BLAB,69
7bF6tCO3gFb8INrEDcjNT5,68
1IXGILkPm0tOCNeq00kCPa,67
3eFJI470ALf1EYjywPRsJy,58
3iJeF2izF1QcpCgUc97BLl,67
6e0CvGZf7CouOpYF8toXHC,67
3eLdNmnRWr9gIyBcqTSSti,68
55nMnifaQWKe3f9cbwOXwx,63
1EJgymgJHcjSOGSHcYaxvW,66
5WaXMQMlQpq8pwIdaFP43L,60
3TjLsDgL0bTbSQIF6M5Ki8,65
0GfS3y8Jd7SHWd9R51s7Fo,69
2v3DuCVBbopteJqdM7aKQK,35
4QAUGy6k7c3IOAhgWz52r7,70
3Ciaf6WgvG95TGRGxQ1yO8,64
1mC2UjWt25Oixtqu7C6suL,62
2wenGTypSYHXl1sN1pNC7X,70
4sqABRRGU7CzcHXCyxUzFw,58
5dy3WUywjZcalTno1io8TQ,63
2M9GeaCQXrV12J0wzBxIwi,66
1zzOMDmkRZy0g9f4JTAZKn,8
4OFFY6L5ywYM1TwhXX69wQ,62
1hr5Y2i4NlE3LPvQZ9Q5Ao,30
1aT7vltGhkjyMI3F3aO3A4,56
4YaU1EjXIkdRdkOI4cCZys,56
0Fc9QSMX6fgEBgDjUax7t7,58
7AasLZ4TYgh7dbJXZxcZVE,60
7p4jpmyBnOpqQ3rSGJzZ7w,60
4sLtguRBis05qfsBgJ1IdN,55
508lUjbGcPrL0CfvHC7UvI,59
7FDaS1k08rwMoAThmzUkOZ,63
6m8SIT10j41SPpPFOknTmP,67
5Vwgf4MVO0vLv8fbxaGGiW,55
5scxjvcdozadBoRRN0UMaM,56
6oJ6le65B3SEqPwMRNXWjY,87
2tilX6FUl0IwFgiOYjuc6V,62
3yNZ5r3LKfdmjoS3gkhUCT,83
478QYNLw6dhTTx4oEkhBeq,55
3C4fzUgIP3ahkhOBdP38GM,61
2k4c9ZAlIYHyXiJ4i20FO7,56
79zGYOcAe2VmJsyQiJX31a,57
6B2NRQjtSOtqi67d72r5cx,56
08rBIlTMXlF5uEHobZglxv,53
1BmdqDrBU5eohtRwHBls6C,56
5rxKInBVj0QE87KenyDiLf,34
3kgKVcBpBGuSeaEC0AZGlb,74
5qCrT9lVmIGxqB8i6bb83P,46
3Lv3frZVXU7Q0JEFvLIzWW,63
2bZYJvVRN5EqIvAUFhUNls,55
3utdq3dPLVD4r7Vv9BnCAI,52
1ppOGANOzMT01Cxh9jx4hN,67
5Shjuje8PRcX7ueEVajrLH,63
6wKJjrWWP4qpzYbE8oQkc4,60
6EDH26ppl7R8oV4tGilCkS,45
4RaN7556EogBfF80klMEX2,58
1nwoWaqzB30bD4IPqRNuex,51
4fDBElPGDqZQ3rJorZTm2w,58
6AZ21kPj2a0INgf3uCviVu,56
3uXHSf9sSIpOJWuC1H8DiU,60
4Q9iBGT9b9CVTtDwsgQWnl,48
6LCsZ8ARrIq0n9nr6gM2ru,56
27F9FlipD657qYRQT3qxFm,56
6B9cqNooxIyPfr3P5EB8LA,65
05CwHjIk71RXVU40boRMnR,39
0qc4QlcCxVTGyShurEv1UU,83
5icOoE6VgqFKohjWWNp0Ac,83
6GIRtKNXokeu25nn7U6Hu8,71
4PkIDTPGedm0enzdvilLNd,81
5PYQUBXc7NYeI1obMKSJK0,85
4Gcv5SsxnQWpmOnUI19EJk,76
5YkmS18BehACOhIIeUqe6l,71
3vQhEd4lOg4mAV6CHCgoHW,65
6wo37KVqFJhtuxPTpLCcfe,67
3OTSBoYKO7HzGVj8Bu2OH9,74
4NSW0Km5ZG60L8FthUebPJ,81
1xK7enJZVdv37fnnxoZlPq,71
1z1XegUChLLQfcbtIK8ABn,75
6aoGtdWXBkYQ2O2wnyIz2x,73
5tAa8Uaqr4VvA3693mbIhU,79
18W92Zm1KjLCbUIszOhpkD,74
